asset,resolved_path,semantic_role,surface,authority,width,height,std,entropy,duplicate,positive_gt_count,hard_negative_gt_count,threshold,ROI,postcondition
cundangInfo,cundangInfo.png,archive,FindNodeWithTimeOut,ACTION_AUTHORITY,37,20,68.23,6.63,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
tuanben,tuanben.png,archive,FindNodeWithTimeOut,ACTION_AUTHORITY,37,20,67.32,6.59,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
decompose,decompose.png,clean,AutoClean,ACTION_AUTHORITY,81,21,63.71,6.99,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
zhuangbei,zhuangbei.png,clean,AutoClean,ACTION_AUTHORITY,66,33,97.0,6.23,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
baoshi,baoshi.png,clean,AutoClean,ACTION_AUTHORITY,67,34,61.38,5.29,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
cibao,cibao.png,clean,AutoClean,ACTION_AUTHORITY,42,24,28.82,6.15,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
mainIdentifier,mainIdentifier.png,env_anchor,Valida,OBSERVATION_ONLY,215,30,63.28,6.13,,0,0,0.85,FULL/DEFAULT,NONE
shortKey,NOT_FOUND,env_anchor,Valida,OBSERVATION_ONLY,0,0,0.0,0.0,,0,0,0.85,FULL/DEFAULT,NONE
zidong,zidong.png,env_anchor,Valida,OBSERVATION_ONLY,33,17,37.47,6.12,,0,0,0.85,FULL/DEFAULT,NONE
r,r.png,rarity,FindCardImages,OBSERVATION_ONLY,59,43,28.02,4.39,,0,0,0.85,FULL/DEFAULT,NONE
sr,sr.png,rarity,FindCardImages,OBSERVATION_ONLY,72,47,24.22,4.14,,0,0,0.85,FULL/DEFAULT,NONE
ssr,ssr.png,rarity,FindCardImages,OBSERVATION_ONLY,91,51,50.95,4.77,,0,0,0.85,FULL/DEFAULT,NONE
ur,ur.png,rarity,FindCardImages,OBSERVATION_ONLY,86,51,18.88,4.39,,0,0,0.85,FULL/DEFAULT,NONE
ex,ex.png,rarity,FindCardImages,OBSERVATION_ONLY,63,41,59.32,5.31,,0,0,0.85,FULL/DEFAULT,NONE
hc,hc.png,rarity,FindCardImages,OBSERVATION_ONLY,48,21,45.75,6.4,,0,0,0.85,FULL/DEFAULT,NONE
pinfu,pinfu.png,quality,AutoClean,OBSERVATION_ONLY,13,33,51.93,7.12,,0,0,0.85,FULL/DEFAULT,NONE
pingfu1,pingfu1.png,quality,AutoClean,OBSERVATION_ONLY,20,42,52.93,7.1,,0,0,0.85,FULL/DEFAULT,NONE
pingfu2,pingfu2.png,quality,AutoClean,OBSERVATION_ONLY,21,44,42.34,6.98,,0,0,0.85,FULL/DEFAULT,NONE
pingfu3,pingfu3.png,quality,AutoClean,OBSERVATION_ONLY,21,44,48.48,7.36,,0,0,0.85,FULL/DEFAULT,NONE
pingfu4,pingfu4.png,quality,AutoClean,OBSERVATION_ONLY,21,44,52.03,7.46,,0,0,0.85,FULL/DEFAULT,NONE
pingfu6,pingfu6.png,quality,AutoClean,OBSERVATION_ONLY,21,44,42.05,7.09,,0,0,0.85,FULL/DEFAULT,NONE
1-23,1-23.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,60,30,87.49,6.07,,0,0,0.85,FULL/DEFAULT,NONE
5-6,5-6.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,42,25,71.88,6.26,,0,0,0.85,FULL/DEFAULT,NONE
5-7,5-7.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,42,25,71.81,5.52,,0,0,0.85,FULL/DEFAULT,NONE
5-8,5-8.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,42,25,77.85,5.06,,0,0,0.85,FULL/DEFAULT,NONE
5-9,5-9.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,42,25,77.29,5.1,,0,0,0.85,FULL/DEFAULT,NONE
5-10,5-10.png,wave_markers,ChangeMainLineStatus,OBSERVATION_ONLY,51,26,76.3,6.1,,0,0,0.85,FULL/DEFAULT,NONE
